Age at enrollment,Target
20,Dropout
19,Graduate
19,Dropout
20,Graduate
45,Graduate
50,Graduate
18,Graduate
22,Dropout
21,Graduate
18,Dropout
18,Graduate
18,Graduate
19,Dropout
21,Graduate
18,Graduate
20,Dropout
18,Enrolled
18,Graduate
20,Graduate
18,Enrolled
21,Graduate
20,Enrolled
18,Graduate
19,Graduate
19,Graduate
18,Enrolled
21,Graduate
18,Enrolled
20,Graduate
19,Enrolled
21,Enrolled
20,Graduate
18,Enrolled
19,Graduate
34,Graduate
37,Dropout
43,Dropout
55,Dropout
39,Graduate
20,Dropout
18,Dropout
22,Graduate
22,Graduate
20,Dropout
29,Dropout
24,Enrolled
18,Graduate
22,Graduate
21,Graduate
19,Graduate
24,Graduate
19,Enrolled
20,Enrolled
19,Graduate
27,Dropout
18,Graduate
39,Dropout
27,Dropout
18,Graduate
18,Enrolled
18,Graduate
21,Graduate
19,Enrolled
19,Enrolled
24,Enrolled
29,Dropout
19,Graduate
23,Graduate
19,Dropout
26,Enrolled
18,Enrolled
24,Graduate
19,Dropout
18,Dropout
18,Graduate
18,Dropout
21,Dropout
19,Graduate
22,Graduate
33,Graduate
20,Dropout
35,Dropout
24,Dropout
18,Enrolled
33,Graduate
22,Graduate
25,Graduate
20,Graduate
23,Enrolled
18,Enrolled
24,Dropout
21,Graduate
26,Dropout
39,Dropout
44,Graduate
19,Enrolled
18,Graduate
18,Graduate
19,Enrolled
19,Dropout
21,Dropout
20,Graduate
36,Dropout
43,Graduate
19,Dropout
20,Graduate
19,Dropout
20,Dropout
20,Dropout
20,Enrolled
18,Graduate
18,Enrolled
19,Graduate
18,Graduate
18,Dropout
20,Enrolled
20,Enrolled
20,Enrolled
18,Graduate
18,Graduate
21,Dropout
19,Graduate
19,Dropout
19,Graduate
19,Graduate
19,Dropout
20,Graduate
18,Enrolled
18,Graduate
19,Graduate
18,Dropout
18,Graduate
19,Graduate
19,Dropout
20,Graduate
19,Dropout
20,Graduate
18,Graduate
20,Enrolled
18,Graduate
19,Graduate
19,Graduate
22,Enrolled
19,Graduate
19,Graduate
19,Graduate
19,Dropout
20,Dropout
18,Graduate
20,Graduate
18,Enrolled
19,Graduate
18,Enrolled
18,Graduate
21,Dropout
19,Dropout
18,Graduate
18,Graduate
20,Graduate
24,Graduate
19,Dropout
18,Graduate
18,Graduate
21,Dropout
19,Graduate
19,Graduate
47,Enrolled
19,Graduate
29,Graduate
21,Dropout
28,Enrolled
20,Graduate
19,Graduate
26,Graduate
20,Dropout
18,Enrolled
27,Graduate
20,Dropout
18,Dropout
33,Dropout
35,Graduate
26,Enrolled
27,Dropout
19,Dropout
20,Dropout
20,Dropout
21,Enrolled
18,Graduate
24,Dropout
20,Graduate
21,Graduate
23,Enrolled
24,Dropout
21,Dropout
18,Graduate
27,Dropout
18,Graduate
35,Dropout
18,Graduate
35,Enrolled
19,Graduate
20,Graduate
18,Graduate
21,Graduate
18,Graduate
18,Graduate
18,Graduate
18,Graduate
19,Graduate
36,Dropout
18,Graduate
18,Graduate
20,Graduate
26,Dropout
21,Graduate
25,Enrolled
19,Graduate
24,Dropout
27,Dropout
21,Dropout
18,Graduate
19,Graduate
18,Dropout
19,Graduate
19,Graduate
33,Graduate
45,Graduate
20,Graduate
28,Dropout
19,Graduate
18,Graduate
38,Dropout
19,Graduate
21,Graduate
21,Dropout
22,Graduate
18,Graduate
18,Graduate
25,Dropout
24,Dropout
19,Enrolled
24,Enrolled
20,Graduate
25,Dropout
20,Graduate
23,Graduate
19,Graduate
29,Dropout
21,Graduate
18,Graduate
19,Enrolled
18,Dropout
19,Graduate
18,Enrolled
18,Graduate
37,Dropout
29,Graduate
18,Enrolled
19,Graduate
22,Dropout
20,Graduate
34,Dropout
30,Dropout
18,Graduate
18,Graduate
18,Graduate
18,Graduate
19,Graduate
19,Graduate
18,Graduate
21,Graduate
20,Dropout
20,Graduate
19,Graduate
20,Graduate
18,Graduate
20,Dropout
29,Dropout
18,Enrolled
20,Graduate
22,Graduate
47,Graduate
31,Graduate
21,Graduate
21,Graduate
24,Graduate
18,Enrolled
32,Graduate
19,Graduate
24,Graduate
19,Graduate
19,Graduate
24,Enrolled
18,Graduate
19,Dropout
19,Graduate
18,Graduate
18,Graduate
20,Graduate
18,Graduate
18,Graduate
21,Graduate
18,Graduate
18,Dropout
19,Dropout
19,Enrolled
18,Graduate
34,Dropout
19,Graduate
19,Dropout
26,Graduate
21,Dropout
18,Graduate
20,Graduate
25,Dropout
18,Graduate
18,Graduate
19,Graduate
18,Graduate
20,Enrolled
26,Dropout
19,Graduate
19,Graduate
19,Graduate
19,Enrolled
18,Graduate
19,Graduate
18,Graduate
18,Enrolled
18,Enrolled
18,Enrolled
26,Dropout
20,Graduate
19,Graduate
18,Graduate
19,Graduate
40,Graduate
18,Graduate
19,Graduate
18,Graduate
19,Enrolled
18,Dropout
33,Graduate
35,Graduate
26,Enrolled
18,Graduate
36,Enrolled
39,Graduate
44,Graduate
20,Enrolled
24,Dropout
20,Graduate
19,Dropout
18,Graduate
22,Dropout
18,Graduate
24,Graduate
33,Dropout
30,Enrolled
26,Dropout
18,Graduate
19,Dropout
20,Enrolled
22,Graduate
19,Enrolled
21,Graduate
21,Graduate
